User-agent: *
# ─── Content Signals: how automated systems may use this content ───
# https://contentsignals.org/ — every value below is YES on purpose. This
# business WANTS to be read, summarized and recommended by AI assistants: a
# customer found Sani Building Corp by asking ChatGPT about cabinetry, then
# called. Saying no here would quietly cost those jobs.
#   search   = yes   index it for search results
#   ai-input = yes   use it to answer someone's question live  <- the one that matters
#   ai-train = yes   train on it
#   use=full = yes   summarize and reproduce it, not merely link to it
#
# Cloudflare's "managed robots.txt" toggle writes ai-train=no in place of this.
# Leave that toggle OFF. It reverses the whole line.
Content-signal: search=yes, ai-input=yes, ai-train=yes, use=full
Allow: /

# ─── Public, crawlable pages ───
# /estimate, /handyman-estimate, /review use a noindex meta tag (NOT blocked here),
# so Googlebot must be able to crawl them to actually see the noindex.

# ─── Block internal/admin tools (never index — keyword-volumes leaks SEO strategy) ───
Disallow: /dashboard
Disallow: /dashboard.html
Disallow: /image-studio
Disallow: /image-studio.html
Disallow: /seo-content
Disallow: /seo-content.html
Disallow: /keyword-volumes
Disallow: /keyword-volumes.html
Disallow: /bid-analyzer
Disallow: /bid-analyzer.html
Disallow: /page-editor
Disallow: /page-editor.html

# ─── Block private customer-document pages (opened via tokenized email links, no SEO value) ───
Disallow: /invoice
Disallow: /invoice.html
Disallow: /quote
Disallow: /quote.html
Disallow: /quote-response
Disallow: /quote-response.html
Disallow: /contract
Disallow: /contract.html
Disallow: /agreement
Disallow: /agreement.html

# ─── Block Netlify internals ───
Disallow: /.netlify/
Disallow: /netlify/functions/

Sitemap: https://www.sanibuildingcorp.com/sitemap.xml

# ─── AI assistants ───
# All AI crawlers are welcome. A plain-text summary of the business and every
# service page lives at /llms.txt — the emerging convention for exactly this.
# Referenced here because a crawler otherwise has to guess the path.
# LLM-Content: https://www.sanibuildingcorp.com/llms.txt

